BUS_ID,TYPE,Pd,Qd,Pg,Qg,P,Q,V_PU,V_KV,BASE_KV,ANGLE_DEG,ANGLE_RAD,MISMATCH
1,3,0.0,0.0,262.52838134765625,110.2835693359375,262.52838134765625,110.2835693359375,1.059999942779541,139.91998291015625,132.0,98.43160247802734,1.7179549932479858,1.2489448636188172e-05
2,2,21.719873428344727,12.700000762939453,40.0,50.0,18.280126571655273,37.29999923706055,1.0431143045425415,137.6910858154297,132.0,93.07345581054688,1.624437689781189,0.011508905328810215
3,1,2.402198076248169,1.2000000476837158,0.0,0.0,-2.402198076248169,-1.2000000476837158,1.0207180976867676,134.7347869873047,132.0,90.89134979248047,1.586352825164795,3.090868631261401e-05
4,1,7.606960296630859,1.600000023841858,0.0,0.0,-7.606960296630859,-1.600000023841858,1.0117391347885132,133.54957580566406,132.0,89.13724517822266,1.555737853050232,0.0005298531032167375
5,2,94.28626251220703,19.0,0.0,36.908203125,-94.28626251220703,17.908203125,1.0099998712539673,133.3199920654297,132.0,84.25035095214844,1.4704455137252808,0.000727177073713392
6,1,0.0,0.0,0.0,0.0,0.0,0.0,1.010239839553833,133.35165405273438,132.0,87.35478210449219,1.5246280431747437,0.0007541400846093893
7,1,22.820878982543945,10.899999618530273,0.0,0.0,-22.820878982543945,-10.899999618530273,1.0023632049560547,132.3119354248047,132.0,85.55236053466797,1.493169903755188,5.7446828577667475e-05
8,2,30.027475357055664,30.000001907348633,0.0,37.203102111816406,-30.027475357055664,7.203100204467773,1.0099999904632568,133.3199920654297,132.0,86.60508728027344,1.5115433931350708,8.046971925068647e-05
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0508968830108643,1.0508968830108643,1.0,84.30758666992188,1.4714444875717163,2.9802322387695312e-06
10,1,5.805311679840088,2.0,0.0,0.0,-5.805311679840088,-2.0,1.045107126235962,34.48853302001953,33.0,82.7153549194336,1.4436547756195068,1.1175870895385742e-06
11,2,0.0,0.0,0.0,16.179651260375977,0.0,16.179651260375977,1.0820000171661377,11.902000427246094,11.0,84.30758666992188,1.4714444875717163,1.0793449467527694e-12
12,1,11.210256576538086,7.500000476837158,0.0,0.0,-11.210256576538086,-7.500000476837158,1.057105302810669,34.88447570800781,33.0,83.47257995605469,1.4568707942962646,1.88486428669421e-05
13,2,0.0,0.0,0.0,10.629406929016113,0.0,10.629406929016113,1.0709999799728394,11.781000137329102,11.0,83.47257995605469,1.4568707942962646,1.771985336240789e-11
14,1,6.205677509307861,1.600000023841858,0.0,0.0,-6.205677509307861,-1.600000023841858,1.0422581434249878,34.39451599121094,33.0,82.57946014404297,1.4412829875946045,1.5359765939138015e-06
15,1,8.20750904083252,2.5,0.0,0.0,-8.20750904083252,-2.5,1.0376572608947754,34.2426872253418,33.0,82.48736572265625,1.4396755695343018,1.7077774145946023e-06
16,1,3.5032052993774414,1.7999999523162842,0.0,0.0,-3.5032052993774414,-1.7999999523162842,1.0443698167800903,34.46420669555664,33.0,82.88882446289062,1.4466824531555176,3.725290298461914e-07
17,1,9.008241653442383,5.800000190734863,0.0,0.0,-9.008241653442383,-5.800000190734863,1.0398805141448975,34.31605911254883,33.0,82.55342102050781,1.440828561782837,1.2938346571900183e-06
18,1,3.202930450439453,0.8999999761581421,0.0,0.0,-3.202930450439453,-0.8999999761581421,1.0281227827072144,33.92805099487305,33.0,81.87235260009766,1.4289416074752808,3.725290298461914e-07
19,1,9.508700370788574,3.4000000953674316,0.0,0.0,-9.508700370788574,-3.4000000953674316,1.0256205797195435,33.84547805786133,33.0,81.69841003417969,1.4259058237075806,9.497663882029883e-07
20,1,2.202014684677124,0.699999988079071,0.0,0.0,-2.202014684677124,-0.699999988079071,1.0297085046768188,33.98038101196289,33.0,81.89521026611328,1.4293406009674072,0.0
21,1,17.51602554321289,11.199999809265137,0.0,0.0,-17.51602554321289,-11.199999809265137,1.032700777053833,34.07912826538086,33.0,82.27206420898438,1.4359179735183716,1.4901161193847656e-06
22,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0332322120666504,34.09666442871094,33.0,82.28633117675781,1.4361668825149536,2.0825005719871115e-07
23,1,3.202930450439453,1.600000023841858,0.0,0.0,-3.202930450439453,-1.600000023841858,1.0271520614624023,33.896018981933594,33.0,82.09616088867188,1.4328478574752808,4.165001143974223e-07
24,1,8.707966804504395,6.700000286102295,0.0,0.0,-8.707966804504395,-6.700000286102295,1.0215508937835693,33.711177825927734,33.0,81.91934204101562,1.4297617673873901,1.1780401791838813e-06
25,1,0.0,0.0,0.0,0.0,0.0,0.0,1.017306923866272,33.571128845214844,33.0,82.3475341796875,1.4372351169586182,1.862645149230957e-07
26,1,3.5032052993774414,2.299999952316284,0.0,0.0,-3.5032052993774414,-2.299999952316284,0.999620795249939,32.987483978271484,33.0,81.92716217041016,1.4298982620239258,4.165001143974223e-07
27,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0232230424880981,33.766361236572266,33.0,82.87251281738281,1.4463976621627808,7.450580596923828e-07
28,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0067998170852661,132.8975830078125,132.0,86.73033142089844,1.5137293338775635,3.268079672125168e-05
29,1,2.402198076248169,0.8999999761581421,0.0,0.0,-2.402198076248169,-0.8999999761581421,1.0033698081970215,33.1112060546875,33.0,81.64119720458984,1.4249072074890137,3.8399414847845037e-07
30,1,10.609707832336426,1.899999976158142,0.0,0.0,-10.609707832336426,-1.899999976158142,0.9918861985206604,32.732242584228516,33.0,80.75741577148438,1.4094823598861694,2.2660055947199e-06
31,2,0.0,0.0,0.15447969734668732,-119.89332580566406,0.15447969734668732,-119.89332580566406,1.0,132.0,132.0,99.08384704589844,1.7293387651443481,0.0
