Time Step,MISMATCH (No WEC),MISMATCH (With WEC)
-1.0,1.1920928955078125e-05,2.9802322387695312e-06
0.0,1.1920928955078125e-05,6.664001830358757e-06
450.0,1.1920928955078125e-05,6.143906375655206e-06
750.0,6.664001830358757e-06,6.664001830358757e-06
1050.0,1.2287812751310412e-05,5.9604644775390625e-06
1350.0,6.664001830358757e-06,4.470348358154297e-06
1650.0,1.2287812751310412e-05,1.7881393432617188e-05
1950.0,1.81280447577592e-05,8.429369700024836e-06
2250.0,1.1920928955078125e-05,5.9604644775390625e-06
2550.0,0.0,1.2287812751310412e-05
2850.0,2.9802322387695312e-06,0.0
3150.0,1.1920928955078125e-05,0.0
3450.0,1.88486428669421e-05,8.429369700024836e-06
3750.0,1.2287812751310412e-05,0.0
4050.0,2.9802322387695312e-06,6.664001830358757e-06
4350.0,5.9604644775390625e-06,5.9604644775390625e-06
4650.0,1.1920928955078125e-05,5.9604644775390625e-06
4950.0,6.664001830358757e-06,5.9604644775390625e-06
5250.0,8.429369700024836e-06,2.4027400286286138e-05
5550.0,1.1920928955078125e-05,0.0
5850.0,2.9802322387695312e-06,5.9604644775390625e-06
6150.0,8.429369700024836e-06,2.9802322387695312e-06
6450.0,1.1920928955078125e-05,6.664001830358757e-06
6750.0,2.9802322387695312e-06,5.9604644775390625e-06
7050.0,6.664001830358757e-06,1.2287812751310412e-05
7350.0,1.2287812751310412e-05,2.9802322387695312e-06
7650.0,2.9802322387695312e-06,0.0
7950.0,2.9802322387695312e-06,0.0
8250.0,2.9802322387695312e-06,1.0745379768195562e-05
8550.0,1.2287812751310412e-05,5.9604644775390625e-06
8850.0,1.81280447577592e-05,2.4027400286286138e-05
9150.0,1.88486428669421e-05,5.9604644775390625e-06
9450.0,5.9604644775390625e-06,5.9604644775390625e-06
9750.0,2.9802322387695312e-06,2.9802322387695312e-06
10050.0,1.88486428669421e-05,0.0
10350.0,1.1920928955078125e-05,6.664001830358757e-06
10650.0,1.81280447577592e-05,1.7881393432617188e-05
10950.0,5.9604644775390625e-06,1.3328003660717513e-05
11250.0,5.9604644775390625e-06,1.1920928955078125e-05
11550.0,5.9604644775390625e-06,2.9802322387695312e-06
11850.0,1.1920928955078125e-05,6.664001830358757e-06
12150.0,1.7881393432617188e-05,1.88486428669421e-05
12450.0,1.81280447577592e-05,1.2287812751310412e-05
12750.0,1.81280447577592e-05,2.9802322387695312e-06
13050.0,1.2287812751310412e-05,1.1920928955078125e-05
13350.0,1.1920928955078125e-05,5.9604644775390625e-06
13650.0,6.664001830358757e-06,5.9604644775390625e-06
13950.0,1.81280447577592e-05,2.9802322387695312e-06
14250.0,1.1920928955078125e-05,5.9604644775390625e-06
14550.0,0.0,6.664001830358757e-06
14850.0,6.664001830358757e-06,5.9604644775390625e-06
15150.0,1.81280447577592e-05,2.9802322387695312e-06
15450.0,2.9802322387695312e-06,1.2287812751310412e-05
15750.0,1.88486428669421e-05,2.384185791015625e-05
16050.0,1.1920928955078125e-05,0.0
16350.0,6.664001830358757e-06,5.9604644775390625e-06
16650.0,0.0,2.384185791015625e-05
16950.0,1.7881393432617188e-05,1.1920928955078125e-05
17250.0,0.0,1.88486428669421e-05
17550.0,2.9802322387695312e-06,1.7881393432617188e-05
17850.0,2.4575625502620824e-05,1.2287812751310412e-05
18150.0,8.429369700024836e-06,2.9802322387695312e-06
18450.0,1.4901161193847656e-05,5.9604644775390625e-06
18750.0,1.0745379768195562e-05,1.81280447577592e-05
19050.0,1.81280447577592e-05,2.9802322387695312e-06
19350.0,2.9802322387695312e-06,6.664001830358757e-06
19650.0,1.0745379768195562e-05,1.0745379768195562e-05
19950.0,0.0,2.4027400286286138e-05
20250.0,1.1920928955078125e-05,5.9604644775390625e-06
20550.0,1.3328003660717513e-05,6.664001830358757e-06
20850.0,8.429369700024836e-06,5.9604644775390625e-06
21150.0,1.1920928955078125e-05,6.664001830358757e-06
21450.0,8.429369700024836e-06,2.9802322387695312e-06
21750.0,1.2287812751310412e-05,1.2287812751310412e-05
22050.0,1.4901161193847656e-05,5.9604644775390625e-06
22350.0,5.9604644775390625e-06,1.4901161193847656e-05
22650.0,1.3328003660717513e-05,1.88486428669421e-05
22950.0,6.664001830358757e-06,6.664001830358757e-06
23250.0,5.9604644775390625e-06,1.3328003660717513e-05
23550.0,5.9604644775390625e-06,5.9604644775390625e-06
23850.0,5.9604644775390625e-06,5.9604644775390625e-06
24150.0,1.7881393432617188e-05,5.9604644775390625e-06
24450.0,5.9604644775390625e-06,1.81280447577592e-05
24750.0,2.9802322387695312e-06,6.664001830358757e-06
25050.0,1.2287812751310412e-05,1.1920928955078125e-05
25350.0,0.0,6.664001830358757e-06
25650.0,6.664001830358757e-06,0.0
25950.0,1.81280447577592e-05,5.9604644775390625e-06
26250.0,1.1920928955078125e-05,5.9604644775390625e-06
26550.0,5.9604644775390625e-06,1.2287812751310412e-05
26850.0,5.9604644775390625e-06,1.81280447577592e-05
27150.0,0.0,2.9802322387695312e-06
27450.0,1.3328003660717513e-05,5.9604644775390625e-06
27750.0,1.7881393432617188e-05,5.9604644775390625e-06
28050.0,1.1920928955078125e-05,5.9604644775390625e-06
28350.0,0.0,1.1920928955078125e-05
28650.0,5.9604644775390625e-06,2.9802322387695312e-06
28950.0,5.9604644775390625e-06,1.81280447577592e-05
29250.0,2.9802322387695312e-06,5.9604644775390625e-06
29550.0,1.1920928955078125e-05,2.9802322387695312e-06
29850.0,0.0,2.9802322387695312e-06
30150.0,5.9604644775390625e-06,2.384185791015625e-05
30450.0,1.2287812751310412e-05,6.664001830358757e-06
30750.0,1.2287812751310412e-05,5.9604644775390625e-06
31050.0,1.2287812751310412e-05,1.3328003660717513e-05
31350.0,1.7881393432617188e-05,6.664001830358757e-06
31650.0,1.2287812751310412e-05,5.9604644775390625e-06
31950.0,6.664001830358757e-06,2.9802322387695312e-06
32250.0,1.7881393432617188e-05,2.9802322387695312e-06
32550.0,6.664001830358757e-06,1.7881393432617188e-05
32850.0,1.7881393432617188e-05,1.1920928955078125e-05
33150.0,6.664001830358757e-06,1.2287812751310412e-05
33450.0,1.2287812751310412e-05,5.9604644775390625e-06
33750.0,5.9604644775390625e-06,6.664001830358757e-06
34050.0,1.2287812751310412e-05,1.2287812751310412e-05
34350.0,0.0,8.940696716308594e-06
34650.0,1.2287812751310412e-05,1.1920928955078125e-05
34950.0,1.1920928955078125e-05,1.88486428669421e-05
35250.0,2.9802322387695312e-06,2.9802322387695312e-06
35550.0,5.9604644775390625e-06,6.664001830358757e-06
35850.0,2.9802322387695312e-06,1.2287812751310412e-05
36150.0,1.1920928955078125e-05,2.9802322387695312e-06
36450.0,5.9604644775390625e-06,1.2287812751310412e-05
36750.0,1.2287812751310412e-05,1.81280447577592e-05
37050.0,0.0,2.9802322387695312e-06
37350.0,0.0,1.1920928955078125e-05
37650.0,1.2287812751310412e-05,2.9802322387695312e-06
37950.0,1.3328003660717513e-05,0.0
38250.0,6.664001830358757e-06,6.664001830358757e-06
38550.0,1.2287812751310412e-05,6.664001830358757e-06
38850.0,1.2287812751310412e-05,1.2287812751310412e-05
39150.0,2.4027400286286138e-05,1.1920928955078125e-05
39450.0,1.7881393432617188e-05,1.2287812751310412e-05
39750.0,2.9802322387695312e-06,8.429369700024836e-06
40050.0,1.3328003660717513e-05,1.1920928955078125e-05
40350.0,5.9604644775390625e-06,2.9802322387695312e-06
40650.0,5.9604644775390625e-06,5.9604644775390625e-06
40950.0,5.9604644775390625e-06,1.2287812751310412e-05
41250.0,1.7881393432617188e-05,1.1920928955078125e-05
41550.0,1.1920928955078125e-05,0.0
41850.0,0.0,2.9802322387695312e-06
42150.0,1.2287812751310412e-05,0.0
42450.0,1.2287812751310412e-05,2.9802322387695312e-06
42750.0,5.9604644775390625e-06,1.1920928955078125e-05
43050.0,5.9604644775390625e-06,1.2013700143143069e-05
